"Concept"	"Feature"
"3960"	"microwave"	"found_in_kitchens"
"3961"	"microwave"	"has_a_finish_signal"
"3962"	"microwave"	"has_a_turntable"
"3963"	"microwave"	"has_doors"
"3964"	"microwave"	"inbeh_-_produces_radiation"
"3965"	"microwave"	"is_box_shaped"
"3966"	"microwave"	"is_convenient"
"3967"	"microwave"	"is_electrical"
"3968"	"microwave"	"is_fast"
"3969"	"microwave"	"is_modern"
"3970"	"microwave"	"used_for_cooking"
"3971"	"microwave"	"used_for_cooking_fast"
"3972"	"microwave"	"used_for_heating_food"
"3973"	"microwave"	"uses_radiation"
"4024"	"missile"	"a_weapon"
"4025"	"missile"	"beh_-_flies"
"4026"	"missile"	"has_warheads"
"4027"	"missile"	"inbeh_-_explodes"
"4028"	"missile"	"is_dangerous"
"4029"	"missile"	"is_destructive"
"4030"	"missile"	"is_expensive"
"4031"	"missile"	"is_fast"
"4032"	"missile"	"is_launched"
"4033"	"missile"	"is_long"
"4034"	"missile"	"is_long_range"
"4035"	"missile"	"is_nuclear"
"4036"	"missile"	"launched_from_airplanes"
"4037"	"missile"	"made_of_metal"
"4038"	"missile"	"used_by_the_army"
"4039"	"missile"	"used_for_killing"
"4040"	"missile"	"used_for_war"
"4079"	"moose"	"a_herbivore"
"4080"	"moose"	"a_mammal"
"4081"	"moose"	"an_animal"
"4082"	"moose"	"eaten_as_meat"
"4083"	"moose"	"has_4_legs"
"4084"	"moose"	"has_antlers"
"4085"	"moose"	"has_fur"
"4086"	"moose"	"has_hair"
"4087"	"moose"	"has_hooves"
"4088"	"moose"	"has_legs"
"4089"	"moose"	"hunted_by_people"
"4090"	"moose"	"is_brown"
"4091"	"moose"	"is_large"
"4092"	"moose"	"lives_in_wilderness"
"4093"	"moose"	"lives_in_woods"
"4102"	"motorcycle"	"a_vehicle"
"4103"	"motorcycle"	"has_2_wheels"
"4104"	"motorcycle"	"has_an_engine"
"4105"	"motorcycle"	"has_wheels"
